C/A,UNIT,SCP,STATION, LINENAME, DIVISION, DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
A030,R083,01-03-01,23 ST,NRW,BMT,05/28/2017,04:00:00,REGULAR,0008424576,0002595013                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/28/2017,08:00:00,REGULAR,0008424587,0002595026                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/28/2017,12:00:00,REGULAR,0008424679,0002595077                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/28/2017,16:00:00,REGULAR,0008424962,0002595170                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/28/2017,20:00:00,REGULAR,0008425269,0002595244                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/29/2017,00:00:00,REGULAR,0008425469,0002595285                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/29/2017,04:00:00,REGULAR,0008425485,0002595289                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/29/2017,08:00:00,REGULAR,0008425495,0002595302                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/29/2017,12:00:00,REGULAR,0008425550,0002595351                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/29/2017,16:00:00,REGULAR,0008425723,0002595428                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/29/2017,20:00:00,REGULAR,0008425994,0002595489                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/30/2017,00:00:00,REGULAR,0008426179,0002595518                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/30/2017,04:00:00,REGULAR,0008426199,0002595519                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/30/2017,08:00:00,REGULAR,0008426237,0002595580                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/30/2017,12:00:00,REGULAR,0008426517,0002595943                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/30/2017,16:00:00,REGULAR,0008427025,0002596058                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/30/2017,20:00:00,REGULAR,0008428104,0002596184                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/31/2017,00:00:00,REGULAR,0008428385,0002596211                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/31/2017,04:00:00,REGULAR,0008428407,0002596214                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/31/2017,08:00:00,REGULAR,0008428441,0002596304                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/31/2017,12:00:00,REGULAR,0008428686,0002596656                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/31/2017,16:00:00,REGULAR,0008429092,0002596806                                                
A030,R083,01-03-01,23 ST,NRW,BMT,05/31/2017,20:00:00,REGULAR,0008430183,0002596963                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/01/2017,00:00:00,REGULAR,0008430551,0002596988                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/01/2017,04:00:00,REGULAR,0008430579,0002596993                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/01/2017,08:00:00,REGULAR,0008430628,0002597070                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/01/2017,12:00:00,REGULAR,0008430918,0002597460                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/01/2017,16:00:00,REGULAR,0008431335,0002597615                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/01/2017,20:00:00,REGULAR,0008432425,0002597809                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/02/2017,00:00:00,REGULAR,0008432806,0002597847                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/02/2017,04:00:00,REGULAR,0008432845,0002597849                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/02/2017,08:00:00,REGULAR,0008432880,0002597915                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/02/2017,12:00:00,REGULAR,0008433156,0002598209                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/02/2017,16:00:00,REGULAR,0008433693,0002598336                                                
A030,R083,01-03-01,23 ST,NRW,BMT,06/02/2017,20:00:00,REGULAR,0008434650,0002598456                                                
